Date,Soy oil
2/14/2011,54.37
2/15/2011,53.22
2/16/2011,53.34
2/17/2011,54.98
2/18/2011,53.17
2/22/2011,50.72
2/23/2011,51.75
2/24/2011,51.34
2/25/2011,53.68
2/28/2011,53.5
3/1/2011,53.8
3/2/2011,55.93
3/3/2011,55.87
3/4/2011,56.61
3/7/2011,56.2
3/8/2011,55.58
3/9/2011,54.25
3/10/2011,54.06
3/11/2011,53.03
3/14/2011,52.51
3/15/2011,50.01
3/16/2011,49.96
3/17/2011,51.52
3/18/2011,52.77
3/21/2011,53.31
3/22/2011,53.29
3/23/2011,53.36
3/24/2011,54.25
3/25/2011,54.97
3/28/2011,54.66
3/29/2011,55.15
3/30/2011,55.62
3/31/2011,57.08
4/1/2011,56.98
4/4/2011,57.18
4/5/2011,57.15
4/7/2011,56.87
4/8/2011,58.4
4/11/2011,57.45
4/12/2011,55.87
4/13/2011,56.01
4/14/2011,55.52
4/15/2011,55.49
4/18/2011,56.04
4/19/2011,56.18
4/20/2011,56.79
4/21/2011,56.92
4/22/2011,56.92
4/25/2011,56.86
4/26/2011,56.7
4/27/2011,56.64
4/28/2011,55.33
4/29/2011,57.26
5/2/2011,57.32
5/3/2011,56.4
5/4/2011,56.07
5/5/2011,54.73
5/6/2011,54.69
5/9/2011,55.29
5/10/2011,55.8
5/11/2011,55.3
5/12/2011,55.46
5/13/2011,55.14
5/16/2011,54.91
5/17/2011,55.04
5/18/2011,56.3
5/19/2011,56.46
5/20/2011,56.46
5/23/2011,56.22
5/24/2011,56.48
5/25/2011,56.96
5/26/2011,57.7
5/27/2011,57.61
5/30/2011,57.61
5/31/2011,57.49
6/1/2011,57.43
6/2/2011,57.91
6/3/2011,57.66
6/6/2011,56.96
6/7/2011,56.86
6/8/2011,56.87
6/9/2011,56.33
6/10/2011,55.78
6/13/2011,55.82
6/14/2011,55.85
6/15/2011,56.05
6/16/2011,55.32
6/17/2011,54.92
6/20/2011,55.02
6/21/2011,55.6
6/22/2011,55.15
6/23/2011,54.15
6/24/2011,54.22
6/27/2011,53.91
6/28/2011,54.34
6/29/2011,54.83
6/30/2011,54.04
7/1/2011,54.16
7/4/2011,54.16
7/5/2011,54.1
7/6/2011,54.43
7/7/2011,55.61
7/8/2011,55.32
7/11/2011,55.32
7/12/2011,55.4
7/13/2011,56.18
7/14/2011,55.94
7/15/2011,55.98
7/18/2011,55.55
7/19/2011,55.32
7/20/2011,55.4
7/21/2011,55.11
7/22/2011,55.14
7/25/2011,54.73
7/26/2011,55.22
7/27/2011,55.28
7/28/2011,54.64
7/29/2011,54.53
8/1/2011,55.03
8/2/2011,55.97
8/3/2011,55.16
8/4/2011,53.93
8/5/2011,53.78
8/8/2011,52.7
8/9/2011,51.91
8/10/2011,51.88
8/11/2011,52.85
8/12/2011,52.91
8/15/2011,53.66
8/16/2011,53.75
8/17/2011,54.4
8/18/2011,54.02
8/19/2011,54.27
8/22/2011,54.48
8/24/2011,54.53
8/25/2011,54.48
8/26/2011,55.48
8/29/2011,56.75
8/30/2011,56.95
8/31/2011,57.55
9/1/2011,56.96
9/2/2011,56.99
9/5/2011,56.99
9/6/2011,56.94
9/7/2011,57.68
9/8/2011,57.58
9/9/2011,57.97
9/12/2011,56.89
9/13/2011,56.65
9/14/2011,56.41
9/15/2011,55.97
9/16/2011,56.3
9/19/2011,55.28
9/20/2011,55.06
9/21/2011,55.29
9/22/2011,53.93
9/23/2011,52.65
9/26/2011,52.47
9/27/2011,52.82
9/28/2011,51.8
9/29/2011,51.88
9/30/2011,50.2
10/3/2011,50.01
10/4/2011,49.04
10/5/2011,49.7
10/6/2011,49.64
10/7/2011,49.95
10/10/2011,50.74
10/11/2011,52.81
10/12/2011,52.49
10/13/2011,53.07
10/14/2011,54.17
10/17/2011,53.53
10/18/2011,53.33
10/19/2011,52.11
10/20/2011,51.89
10/21/2011,51.75
10/24/2011,52.29
10/25/2011,52
10/26/2011,51.39
10/27/2011,52.61
10/28/2011,52.27
10/31/2011,51.67
11/1/2011,51.43
11/2/2011,51.48
11/3/2011,52.66
11/4/2011,52.5
11/7/2011,51.83
11/8/2011,52.48
11/9/2011,51.62
11/10/2011,51.15
11/11/2011,51.61
11/14/2011,51.85
11/15/2011,53.23
11/16/2011,53.03
11/17/2011,51.95
11/18/2011,51.43
11/21/2011,50.44
11/22/2011,51.33
11/23/2011,49.87
11/28/2011,49.41
11/29/2011,49.73
11/30/2011,49.77
12/1/2011,50.02
12/2/2011,50.7
12/5/2011,50.7
12/6/2011,50.61
12/7/2011,50.73
12/8/2011,50.45
12/9/2011,49.6
12/12/2011,49.32
12/13/2011,49.25
12/14/2011,48.4
12/15/2011,48.98
12/16/2011,49.55
12/19/2011,49.05
12/20/2011,49.38
12/21/2011,49.33
12/22/2011,50.33
12/23/2011,50.84
12/26/2011,50.84
12/27/2011,51.72
12/28/2011,51.66
12/29/2011,51.02
12/30/2011,51.97
1/2/2012,51.97
1/3/2012,52.68
1/4/2012,52.66
1/5/2012,51.69
1/6/2012,50.75
1/9/2012,51.96
1/10/2012,52.13
1/11/2012,51.52
1/12/2012,50.96
1/13/2012,49.79
1/16/2012,49.79
1/17/2012,50.27
1/18/2012,49.78
1/19/2012,50.44
1/20/2012,49.81
1/23/2012,50.92
1/24/2012,50.85
1/25/2012,50.89
1/26/2012,51.44
1/27/2012,51.09
1/30/2012,49.75
1/31/2012,50.37
2/1/2012,50.68
2/2/2012,50.69
2/3/2012,51.15
2/6/2012,51.54
2/7/2012,51.42
2/8/2012,51.76
2/9/2012,51.72
2/10/2012,51.83
2/13/2012,52.3
2/14/2012,52.27
2/15/2012,52.6
2/16/2012,52.3
2/17/2012,52.65
2/20/2012,52.65
2/21/2012,53.31
2/22/2012,53.45
2/23/2012,53.43
2/24/2012,53.52
2/27/2012,53.69
2/28/2012,53.65
2/29/2012,53.19
3/1/2012,53.04
3/2/2012,52.86
3/5/2012,52.51
3/6/2012,52.02
3/7/2012,51.98
3/8/2012,52.39
3/9/2012,53.27
3/12/2012,52.96
3/13/2012,53.87
3/14/2012,53.8
3/15/2012,54.48
3/16/2012,54.5
3/19/2012,54.4
3/20/2012,53.33
3/21/2012,53.51
3/22/2012,53.09
3/23/2012,54.01
3/26/2012,54.56
3/27/2012,54.23
3/28/2012,53.75
3/29/2012,52.74
3/30/2012,54.25
4/2/2012,55.31
4/3/2012,55.05
4/4/2012,55.02
4/5/2012,55.64
4/6/2012,55.64
4/9/2012,55.71
4/10/2012,55.97
4/11/2012,55.45
4/12/2012,56.23
4/13/2012,55.52
4/16/2012,54.66
4/17/2012,54.76
4/18/2012,54.19
4/19/2012,54.17
4/20/2012,54.83
4/23/2012,54.09
4/24/2012,54.29
4/25/2012,55.03
4/26/2012,54.75
4/27/2012,54.53
4/30/2012,54.05
5/1/2012,53.91
5/2/2012,53.71
5/3/2012,53.16
5/4/2012,52.65
5/7/2012,52.58
5/8/2012,52.27
5/9/2012,51.95
5/10/2012,52.63
5/11/2012,51.37
5/14/2012,50.43
5/15/2012,50.6
5/16/2012,49.56
5/17/2012,49.85
5/18/2012,49.45
5/21/2012,50.05
5/22/2012,49.59
5/23/2012,47.91
5/24/2012,48.42
5/25/2012,49.12
5/28/2012,49.12
5/29/2012,49.17
5/30/2012,48.69
5/31/2012,48.2
6/1/2012,47.59
6/4/2012,47.31
6/5/2012,47.5
6/6/2012,48.25
6/7/2012,49.39
6/8/2012,48.46
6/11/2012,48.74
6/12/2012,48.72
6/13/2012,48.1
6/14/2012,47
6/15/2012,47.44
6/18/2012,47.76
6/19/2012,49.44
6/20/2012,49.44
6/21/2012,48.44
6/22/2012,48.37
6/25/2012,49.9
6/26/2012,49.51
6/27/2012,49.99
6/28/2012,49.55
6/29/2012,50.84
7/2/2012,50.81
7/3/2012,51.58
7/4/2012,51.58
7/5/2012,52.96
7/6/2012,52.07
7/9/2012,53.19
7/10/2012,52.92
7/11/2012,52.37
7/12/2012,51.89
7/13/2012,52.25
7/16/2012,53.2
7/18/2012,52.51
7/19/2012,52.9
7/20/2012,52.86
7/23/2012,52.25
7/24/2012,50.08
7/25/2012,50.97
7/26/2012,50.41
7/27/2012,50.77
7/30/2012,51.3
7/31/2012,51.28
8/1/2012,50.46
8/2/2012,50.27
8/3/2012,50.77
8/6/2012,50.21
8/7/2012,50.02
8/8/2012,50.31
8/9/2012,51.12
8/10/2012,52.33
8/13/2012,51.83
8/14/2012,51.52
8/15/2012,51.82
8/16/2012,51.79
8/17/2012,51.86
8/20/2012,52.64
8/21/2012,54.32
8/22/2012,54.92
8/23/2012,54.87
8/24/2012,54.99
8/27/2012,54.66
8/28/2012,54.48
8/29/2012,55.39
8/30/2012,55.34
8/31/2012,55.17
9/3/2012,55.17
9/4/2012,56.32
9/5/2012,56.11
9/6/2012,55.53
9/7/2012,54.82
9/10/2012,54.71
9/11/2012,54.06
9/12/2012,54.82
9/13/2012,55.35
9/14/2012,55.72
9/17/2012,53.73
9/18/2012,53.66
9/19/2012,54.58
9/20/2012,53.38
9/21/2012,53.2
9/24/2012,52.51
9/25/2012,51.84
9/26/2012,50.35
9/27/2012,50.86
9/28/2012,50.93
10/1/2012,49.47
10/2/2012,49.02
10/3/2012,49.08
10/4/2012,49.79
10/5/2012,49.54
10/8/2012,49.28
10/9/2012,49.6
10/10/2012,49.06
10/11/2012,49.76
10/12/2012,49.1
