Date,Soybean meal
12/17/2015,289.4
12/24/2015,282.5
12/31/2015,276.8
1/7/2016,276.4
1/14/2016,283.2
1/21/2016,281.2
1/28/2016,275.9
2/4/2016,276.6
2/11/2016,272.7
2/18/2016,272.5
2/25/2016,270.5
3/3/2016,271.4
3/17/2016,272
3/24/2016,281.8
3/31/2016,276.8
4/7/2016,273.3
4/14/2016,297.1
4/21/2016,331.75
4/28/2016,337.1
5/5/2016,343.3
5/12/2016,370.9
5/19/2016,384.6
5/26/2016,416.1
6/2/2016,424.8
6/9/2016,420
6/16/2016,404.2
6/23/2016,387.7
6/30/2016,413.3
7/7/2016,373.7
7/14/2016,379.7
7/21/2016,359
7/28/2016,359
8/4/2016,348.5
8/11/2016,335.5
8/18/2016,341.4
8/25/2016,347.4
9/1/2016,337.3
9/8/2016,325.6
9/15/2016,349.6
9/22/2016,344.1
9/29/2016,336.9
10/6/2016,325.9
10/13/2016,321.1
10/20/2016,322.8
10/27/2016,316.1
11/3/2016,339.1
11/10/2016,315.4
11/17/2016,320.4
11/24/2016,320
12/1/2016,324.9
12/8/2016,317.4
12/15/2016,318.2
12/22/2016,321
12/29/2016,317.8
1/5/2017,322.7
1/12/2017,327.4
1/19/2017,347.2
1/26/2017,330.8
2/2/2017,330.8
2/9/2017,335.4
2/16/2017,339
2/23/2017,328.3
3/2/2017,330.8
3/9/2017,324.5
3/16/2017,325.3
3/23/2017,315.2
3/30/2017,305.9
4/6/2017,302.2
4/13/2017,310
4/20/2017,302.4
4/27/2017,310.3
5/4/2017,315.1
5/11/2017,310.4
5/18/2017,303
5/25/2017,301.2
6/1/2017,293.5
6/8/2017,307.6
6/15/2017,302.1
6/22/2017,295.8
6/29/2017,296.4
7/6/2017,322
7/13/2017,319.4
7/20/2017,322.8
7/27/2017,309.8
8/3/2017,309.8
8/10/2017,297.1
8/17/2017,298.6
8/24/2017,295.8
8/31/2017,306.1
9/7/2017,304.7
9/14/2017,310
9/21/2017,311.5
9/28/2017,312.5
10/5/2017,317.9
10/12/2017,323.3
10/19/2017,317.9
10/26/2017,308.6
11/2/2017,313.9
11/9/2017,307.8
11/16/2017,307
11/23/2017,320.9
11/30/2017,321
12/7/2017,330.2
12/14/2017,317.1
12/21/2017,309.7
12/28/2017,309.3
1/4/2018,322.7
1/11/2018,327.4
1/18/2018,347.2
1/25/2018,341.4
2/1/2018,330.8
2/8/2018,329.5
2/15/2018,378.2
2/22/2018,380.4
3/1/2018,397.7
3/8/2018,386.4
3/15/2018,375
3/22/2018,372.5
3/29/2018,387.5
4/5/2018,386.6
4/12/2018,391.4
4/19/2018,378.3
